table size,load factor,probe count,search count,average,maximum
563,0.8880994671403197,1029,788,1.97,99
719,0.6954102920723226,232,488,1.22,3
809,0.6180469715698393,222,485,1.2125,3
907,0.5512679162072768,178,475,1.1875,3
1009,0.49554013875123887,140,455,1.1375,3
