table size,load factor,probe count,search count,average,maximum
563,0.8880994671403197,2303,1557,3.8925,211
719,0.6954102920723226,170,140,0.35,5
809,0.6180469715698393,183,139,0.3475,5
907,0.5512679162072768,112,96,0.24,5
1009,0.49554013875123887,88,70,0.175,3
